trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-119.11219716296013,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-67.56649100358108,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-118.0592375476122,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-112.80859009822822,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-69.7442357592359,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-45.63285226607905,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,0,-161.24379476068685,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-141.26086561983698,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-60.3695572440254,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-70.73705577212993,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-61.79465700156328,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-43.015252834571,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-167.63688099823983,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-120.58497028435623,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-178.5979448513219,"{0: 9, 1: 4, 2: 9, 3: 2, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-151.0345722343357,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",30,0,-175.34540379779122,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,9,-119.16807764811485,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 2}",1
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-99.74434952784324,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",35,0,-154.2077274028555,"{0: 25, 1: 3, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-68.26637919962448,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-181.0255598192691,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,4,-56.9007847503941,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-164.67450534708246,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-53.96164439620734,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",30,0,-139.8638207632457,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
