trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-109.10347617895579,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
2,False,"{'a': 0.2, 'e': 1.0}",20,0,-87.9565932873809,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 1.0}",25,7,-10.80438715748577,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.2, 'e': 1.0}",30,0,-165.5086684159332,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.2, 'e': 1.0}",20,0,-90.04004125360841,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 1.0}",35,0,-229.3629432186633,"{0: 18, 1: 6, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.2, 'e': 1.0}",25,0,-167.9156571161337,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.2, 'e': 1.0}",20,0,-70.38291987404314,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 1.0}",20,0,-62.8937620850295,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.2, 'e': 1.0}",20,0,-81.2245447488373,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 1.0}",20,0,-69.41366664504345,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.2, 'e': 1.0}",35,0,-181.08593265484652,"{0: 18, 1: 5, 2: 8, 3: 3, 4: 1}",0
13,False,"{'a': 0.2, 'e': 1.0}",25,0,-117.00510969274802,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 1.0}",25,0,-41.14578359840405,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 1.0}",25,0,-170.69448655379944,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 1.0}",30,0,-174.43094437520077,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.2, 'e': 1.0}",30,4,-124.3590818675573,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 1}",1
18,False,"{'a': 0.2, 'e': 1.0}",35,0,-242.0569060498529,"{0: 17, 1: 4, 2: 10, 3: 1, 4: 3}",0
19,False,"{'a': 0.2, 'e': 1.0}",20,0,-86.46317221569227,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.2, 'e': 1.0}",20,0,-194.42442856193568,"{0: 4, 1: 8, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.2, 'e': 1.0}",20,0,-116.2612529732811,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 1.0}",30,0,-111.30985564967689,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.2, 'e': 1.0}",30,0,-78.24086440055768,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.2, 'e': 1.0}",25,0,-91.39039087190227,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
25,False,"{'a': 0.2, 'e': 1.0}",20,0,-52.93474159337667,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.2, 'e': 1.0}",30,6,-113.76183122356626,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
27,False,"{'a': 0.2, 'e': 1.0}",25,0,-51.13813444392071,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 1.0}",20,0,-149.02343356907363,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.2, 'e': 1.0}",20,0,-136.85559888550821,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
30,False,"{'a': 0.2, 'e': 1.0}",30,0,-140.4348296434675,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
31,False,"{'a': 0.2, 'e': 1.0}",25,0,-207.47061425722438,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
32,False,"{'a': 0.2, 'e': 1.0}",20,0,-118.01553729743775,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.2, 'e': 1.0}",25,0,-180.58650123675568,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
