trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-161.52509380784363,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-159.03716770977,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-116.08693178843235,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-39.34542175801811,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",30,11,-57.17384658564052,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-207.52859086039484,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-70.93528034656883,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,3,-103.38893226168274,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-95.29897466764392,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-205.2647689202474,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",30,0,-48.35157999464656,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-143.53323887250346,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-26.71032829046824,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-90.36308620960502,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-95.73612586536085,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-65.64410665655937,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-104.4103032101024,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-137.60209685792154,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-141.6542151483258,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-52.45270391042193,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-74.75558284483414,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-76.88147651040387,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.298622986053832,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-90.80627723818033,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-63.15084478566274,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-124.8108750693467,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,15,4.789462379975475,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,3,-120.69174626650555,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-115.48943141299927,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-176.6434440256748,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
